timestamp,level,source,message
2026-07-28 15:09:48,INFO,main,Application starting.
2026-07-28 15:09:53,INFO,detector,ARP detector started on interface ''.
2026-07-28 15:09:55,INFO,detector,New/unauthorized device joined the network: 192.168.1.215 (68:07:15:C9:B8:73).
2026-07-28 15:10:08,INFO,detector,ARP detector stop requested.
2026-07-28 15:10:20,INFO,detector,ARP detector started on interface 'Wi-Fi'.
2026-07-28 15:10:21,INFO,detector,New/unauthorized device joined the network: 192.168.1.68 (CC:64:1A:C3:87:2C).
2026-07-28 15:10:21,INFO,detector,New/unauthorized device joined the network: 192.168.1.81 (6E:78:0D:A8:2F:6D).
2026-07-28 15:10:21,INFO,detector,New/unauthorized device joined the network: 192.168.1.93 (8A:2F:E7:78:D7:F6).
2026-07-28 15:10:21,INFO,detector,New/unauthorized device joined the network: 192.168.1.117 (9A:16:86:74:51:24).
2026-07-28 15:10:22,INFO,detector,New/unauthorized device joined the network: 192.168.1.207 (88:75:98:ED:4A:83).
2026-07-28 15:10:22,INFO,detector,New/unauthorized device joined the network: 192.168.1.254 (90:03:2E:E1:EF:C2).
2026-07-28 15:10:26,INFO,detector,New/unauthorized device joined the network: 192.168.1.65 (FC:23:CD:85:47:69).
2026-07-28 15:10:26,INFO,detector,New/unauthorized device joined the network: 192.168.1.66 (84:FC:14:84:1E:79).
2026-07-28 15:10:26,INFO,detector,New/unauthorized device joined the network: 192.168.1.67 (CC:64:1A:C3:8E:1B).
2026-07-28 15:10:32,INFO,detector,New/unauthorized device joined the network: 192.168.1.64 (4C:24:CE:68:34:F2).
2026-07-28 15:10:53,INFO,detector,New/unauthorized device joined the network: 192.168.1.108 (A2:34:21:0E:66:27).
2026-07-28 15:11:19,INFO,detector,New/unauthorized device joined the network: 192.168.1.135 (E6:23:53:69:ED:2D).
2026-07-28 15:12:34,INFO,detector,New/unauthorized device joined the network: 192.168.1.171 (52:80:71:16:04:49).
2026-07-28 15:12:51,INFO,detector,New/unauthorized device joined the network: 192.168.1.205 (F2:00:3B:69:2C:CD).
2026-07-28 15:14:53,INFO,detector,New/unauthorized device joined the network: 192.168.1.179 (A8:9C:ED:1C:1D:53).
2026-07-28 15:16:53,INFO,detector,ARP detector stop requested.
2026-07-28 15:16:59,INFO,main,Application closed.
2026-07-29 13:21:21,INFO,main,Application starting.
2026-07-29 13:21:40,INFO,detector,ARP detector started on interface ''.
